symbol,breakout_date,peak_date,b_ratio_-3,b_ratio_-2,b_ratio_-1,b_ratio_+0,b_ratio_+1,b_ratio_+2,b_ratio_+3,p_ratio_-3,p_ratio_-2,p_ratio_-1,p_ratio_+0,p_ratio_+1,p_ratio_+2
DCR-USD,2020-12-15,2020-12-24,8.22504557169983,3.5624769794275757,6.55912763549944,16.61627364952727,17.34383826691126,7.140097214549446,29.862723076130738,13.431881964790794,10.182874977151158,11.619654535476197,15.532734274711203,10.929034177432783,9.441206570102011
DCR-USD,2021-01-05,2021-01-08,17.470907236556755,10.661501318127486,13.995110137491217,11.267305655264392,18.858356612915863,12.699662582339034,28.74107722212895,11.267305655264392,18.858356612915863,12.699662582339034,28.74107722212895,12.074465259163603,18.56178001022759
DCR-USD,2021-05-23,2021-05-31,26.166625647357698,29.877534213603486,16.293686404140196,42.443560680783854,34.44069550262989,18.122542016841937,8.535188926958458,11.204786528875355,20.727601277996065,18.03189936069105,12.56329856212326,11.536360856490013,5.43841708459909
DCR-USD,2022-01-11,2022-01-14,11.27813057940703,4.519731333348509,10.296063605516824,5.987324785055748,10.183888547169317,8.899265682241042,49.0918555605252,5.987324785055748,10.183888547169317,8.899265682241042,49.0918555605252,14.055952084278744,4.648950857693479
DCR-USD,2022-08-02,2022-08-05,6.933380842700898,3.814756446830314,5.657521103799756,5.276315721813263,4.954616394865963,3.029660307511839,138.56334313069655,5.276315721813263,4.954616394865963,3.029660307511839,138.56334313069655,45.47243901894953,6.9104640270791995
DCR-USD,2023-12-24,2023-12-27,5.544987495882148,4.302272159357456,8.203195131024321,9.576062438234189,4.742717992322998,20.533808056412028,49.05444407107036,9.576062438234189,4.742717992322998,20.533808056412028,49.05444407107036,19.18345220619426,12.186479704612974
DEXE-USD,2021-05-23,2021-05-26,25.45639991373396,37.29820468262594,12.420750380089785,43.50749520026673,35.22686336602084,13.343767248694437,11.449584292634253,43.50749520026673,35.22686336602084,13.343767248694437,11.449584292634253,8.182116700733566,19.73291609992247
DEXE-USD,2021-07-01,2021-07-06,16.7425616096494,13.398722501644954,5.788218366754583,11.31960002366652,22.937164273873734,32.32311793949578,37.9565264192711,32.32311793949578,37.9565264192711,18.503022244206434,13.627869759673983,8.749607654968905,17.939106173442365
DEXE-USD,2021-08-05,2021-08-08,4.796209893043768,17.033548240392626,7.970831459598937,13.668498858685552,10.926667174187997,6.181951842805811,57.40532562790497,13.668498858685552,10.926667174187997,6.181951842805811,57.40532562790497,21.28967475607606,7.491068834724146
DEXE-USD,2021-08-22,2021-08-27,9.300642728457653,7.407949006155001,15.150108624407244,7.414462618196982,4.626775653682325,13.549075258677256,92.79210100668382,13.549075258677256,92.79210100668382,39.11321727935948,26.820294085791364,10.859561774885162,13.291813840875522
DEXE-USD,2022-07-22,2022-07-25,3.8470396421613984,7.830280792150557,7.240678149958302,6.625824063475738,26.61066548880171,5.9744831853213665,43.949196598649735,6.625824063475738,26.61066548880171,5.9744831853213665,43.949196598649735,29.162811167659108,13.383631585482213
DEXE-USD,2023-11-06,2023-11-10,4.050120156465065,2.9060991613582665,3.805965543785561,4.589778594985661,3.6424322738115356,3.122163009548351,75.53213909180982,3.6424322738115356,3.122163009548351,75.53213909180982,52.991607020241304,10.536530977507109,10.395424350122418
DEXE-USD,2024-02-25,2024-03-05,12.28554585993833,29.501783696526896,12.392205475391416,5.070970058324598,5.224871576694667,10.103988542688679,73.47926121252588,6.402727402741082,9.53393216739833,6.031376006992728,13.010909898928258,37.3004171291901,62.24117514208882
DEXE-USD,2024-03-19,2024-03-28,17.528984969560035,11.668270119158608,12.588005861874784,9.999560368475557,28.257180603563526,12.662113748702142,25.54850811350573,7.887393636724771,6.07396370926836,6.145597511449052,5.655072891976487,24.72775639791658,18.99896148665592
DEXE-USD,2024-12-20,2024-12-24,25.786926778155504,11.397415865650839,13.0781992627101,45.47624048955245,23.463105803910178,33.78598056198516,37.91151089559766,23.463105803910178,33.78598056198516,37.91151089559766,27.07667956866193,21.00411074839801,9.498291778338054
DEXE-USD,2024-12-30,2025-01-02,21.085941221932103,14.544039399665376,13.831179081432632,27.42547995645339,11.05353688635562,6.951189623914789,42.34486783770133,27.42547995645339,11.05353688635562,6.951189623914789,42.34486783770133,8.670525934155005,15.753839784454104
DGB-USD,2020-12-23,2021-01-01,7.797021527100134,8.42887639262948,9.007564149719926,24.431825623882865,11.867291818120563,8.578506607108505,42.01978227380296,7.038326862395405,15.087359446343696,4.771500541416462,8.467337237934625,21.024695062532906,20.177513456077456
DGB-USD,2021-02-05,2021-02-14,8.571819896936518,9.69083136744484,7.535726849820712,26.18563937142053,11.866935659629863,9.628050873273942,58.96916926864266,11.710465992490416,30.695433651920112,17.244013915847646,9.688543868090793,57.25414797987014,15.98255045936976
DGB-USD,2021-04-13,2021-04-21,8.310470380069956,7.52445227320182,7.3208282774608335,7.661200232980292,38.04194831429293,17.90255265603877,31.685989339171527,39.1724895735714,23.83005634059192,16.559299232981473,40.8206681668791,35.866056747463574,36.82091497510578
DGB-USD,2022-03-24,2022-03-27,7.45970743803317,4.256026140417335,8.690402479285009,5.4772336082590245,7.664941174006801,5.31187421352417,78.16272360086967,5.4772336082590245,7.664941174006801,5.31187421352417,78.16272360086967,22.736585159400335,10.98196286447768
DGB-USD,2024-03-29,2024-04-01,7.6454372451697505,8.126767700261528,5.2809905864187545,7.51215458994956,16.337191154185547,9.60206524018552,40.97796573686563,7.51215458994956,16.337191154185547,9.60206524018552,40.97796573686563,23.064768856436977,18.720418738854725
DGB-USD,2024-12-01,2024-12-04,8.10073827508071,5.38661242327001,60.103568988680145,16.822620738297324,16.327491629288016,36.01751988007502,19.082982150365368,16.822620738297324,16.327491629288016,36.01751988007502,19.082982150365368,11.814503642980467,9.865852010216347
DOGE-USD,2020-12-30,2021-01-02,8.489502644510583,4.267075627694927,7.713889343943947,5.614193414129742,4.173073813500383,23.185270533064205,145.30802484316365,5.614193414129742,4.173073813500383,23.185270533064205,145.30802484316365,47.380166580931025,44.973340625028825
DOGE-USD,2021-04-10,2021-04-19,16.755436994050644,4.978152546830095,5.993765810365637,6.988058343319681,25.378538135790606,8.850475199069896,34.66849513943413,142.5091920680925,58.31585958343859,41.98913214096633,39.68907928297012,55.49300701295634,16.809412861043516
DOGE-USD,2021-04-30,2021-05-07,5.5490466346341805,34.51221642660596,9.086102859288037,12.138057347003905,20.970790109720916,9.634832240748704,19.253223424851427,51.19710459425713,32.72867542265121,21.741619241546516,40.71674898522666,21.276851188127523,63.874829769671294
DOGE-USD,2021-05-12,2021-05-14,63.874829769671294,35.224112879151235,22.833538350951187,34.92666849843009,45.43598710500398,26.91823485466156,14.528221849593038,22.833538350951187,34.92666849843009,45.43598710500398,26.91823485466156,14.528221849593038,21.53370916703721
DOGE-USD,2021-05-30,2021-06-02,7.715813528784676,15.375864920015413,12.820044495190274,7.871250403633545,11.83468008954165,22.640224816912614,26.093345471050778,7.871250403633545,11.83468008954165,22.640224816912614,26.093345471050778,16.351875092045876,14.096204202744534
DOGE-USD,2021-06-21,2021-06-27,9.722940767141374,4.058166124452467,12.968524583687003,68.7112224427733,31.25827451371499,36.54070156385667,20.744895347611635,20.744895347611635,25.71193787077415,10.457979793770033,10.791882506399375,6.468286377655974,8.677092319365487
DOGE-USD,2022-10-25,2022-11-01,1.1185438435396877,2.464063942967587,3.3232541586247777,8.141552097549054,16.752705672994782,17.758524782413467,20.527907292016877,79.15501177893461,25.48009821471706,13.181725449505866,25.584579273151586,18.799523732627478,12.007964893885802
DOGE-USD,2024-02-25,2024-03-04,2.6958443828855483,2.9469166308580874,2.8169860286189508,1.5188248760002132,6.8001705222291875,12.771184375577072,28.020118543665884,23.977741417353336,9.594173042486043,19.96226508206029,23.87804366036883,57.904883310340715,20.72982811756676
DOGE-USD,2024-11-07,2024-11-13,7.614033032657752,13.06178217997136,25.71805585753115,9.247000706676122,7.985300829535302,11.07645325773321,36.498512983366126,36.498512983366126,26.602259840177634,30.720207620207198,21.03564722561242,16.552749470534845,8.400449772767882
DOGE-USD,2025-05-07,2025-05-10,4.16816769063213,3.481434376088899,4.868669229443823,2.703549608451161,15.152445346313947,9.980391931689514,22.346640480162684,2.703549608451161,15.152445346313947,9.980391931689514,22.346640480162684,15.725463536876315,13.212407589964803
