symbol,breakout_date,b_adx_-3,b_adx_-2,b_adx_-1,b_adx_+0,b_adx_+1,b_adx_+2,b_adx_+3,p_adx_-3,p_adx_-2,p_adx_-1,p_adx_+0,p_adx_+1,p_adx_+2
METIS-USD,2022-02-03,29.46193331892462,28.648942911643037,27.783499440305715,27.19765049709418,25.895494868383555,24.088895996057115,22.521472672660963,29.46193331892462,28.648942911643037,27.783499440305715,27.19765049709418,25.895494868383555,24.088895996057115
METIS-USD,2022-02-12,20.75406924171757,20.544071275029886,19.20124006027824,17.92887271373376,17.24892106770087,16.617537396384616,16.748714218603453,20.75406924171757,20.544071275029886,19.20124006027824,17.92887271373376,17.24892106770087,16.617537396384616
METIS-USD,2022-02-25,12.325020920060746,11.663022946300995,11.960283278838512,12.109741436763203,11.66043023688788,10.96458962566652,11.320659664677455,12.325020920060746,11.663022946300995,11.960283278838512,12.109741436763203,11.66043023688788,10.96458962566652
METIS-USD,2022-05-12,41.7393467209444,41.856504875975055,42.63951820149123,43.66963146164119,43.194877341634665,42.75403423020004,41.58349029163212,41.7393467209444,41.856504875975055,42.63951820149123,43.66963146164119,43.194877341634665,42.75403423020004
METIS-USD,2022-07-25,36.4474082374393,37.509992933006686,38.496678721747834,38.46870307895466,37.615976328167775,38.29422731946171,39.31713966296267,36.4474082374393,37.509992933006686,38.496678721747834,38.46870307895466,37.615976328167775,38.29422731946171
METIS-USD,2022-08-01,40.39550064089979,41.39683583469855,42.1034657010215,42.12715828008476,41.73850576851368,41.984737800166634,43.42893390337844,40.39550064089979,41.39683583469855,42.1034657010215,42.12715828008476,41.73850576851368,41.984737800166634
METIS-USD,2023-01-24,43.176910900748005,43.25210984075108,44.65246602379146,46.226907800850825,47.887410964806506,49.61355369542116,51.69122855967249,43.176910900748005,43.25210984075108,44.65246602379146,46.226907800850825,47.887410964806506,49.61355369542116
METIS-USD,2023-09-17,50.30607726934814,51.250023731145454,52.339657642068275,53.43457018238707,50.0061489258486,46.99539895544745,47.92798451591907,50.30607726934814,51.250023731145454,52.339657642068275,53.43457018238707,50.0061489258486,46.99539895544745
METIS-USD,2023-12-19,45.04341909314458,44.43527587444767,45.611617096383334,46.70393394532359,47.71822816219669,49.453444195364774,51.66083017317434,45.04341909314458,44.43527587444767,45.611617096383334,46.70393394532359,47.71822816219669,49.453444195364774
METIS-USD,2023-12-23,47.71822816219669,49.453444195364774,51.66083017317434,53.770499259105485,56.04542430519887,58.6412618874004,61.14968748335086,47.71822816219669,49.453444195364774,51.66083017317434,53.770499259105485,56.04542430519887,58.6412618874004
METIS-USD,2024-01-07,68.14068685364212,67.24360663301084,64.76651691965115,61.545620712769924,59.16899165096415,56.96212180785879,56.06024816421638,68.14068685364212,67.24360663301084,64.76651691965115,61.545620712769924,59.16899165096415,56.96212180785879
METIS-USD,2024-03-08,27.148363671487818,26.318331675285016,25.25397573060869,24.534301090570427,23.070342088534794,21.847956056004733,23.4626112546622,27.148363671487818,26.318331675285016,25.25397573060869,24.534301090570427,23.070342088534794,21.847956056004733
METIS-USD,2024-05-18,20.501293737082555,20.194400345602258,18.75730028549341,17.57276032944835,16.866264276308744,18.549128586554524,20.361068364531768,20.501293737082555,20.194400345602258,18.75730028549341,17.57276032944835,16.866264276308744,18.549128586554524
METIS-USD,2024-11-20,20.735095998207466,20.938094252914794,21.31077770904139,21.001736739728983,22.19019547209925,23.2937642950145,25.43929544758683,20.735095998207466,20.938094252914794,21.31077770904139,21.001736739728983,22.19019547209925,23.2937642950145
