symbol,breakout_date,market_level,macd_d0,macd_d1,macd_d2,macd_d3,macd_signal_d0,macd_signal_d1,macd_signal_d2,macd_signal_d3
A-USD,2021-01-21,6.0,0.0007852462458435,0.0011029860370732,0.0011407123011582,0.0011590361368345,0.0010469786947344,0.0011124118069571,0.0011147682494281,0.0011082822364956
A-USD,2021-01-21,5.0,0.0007852462458435,0.0011029860370732,0.0011407123011582,0.0011590361368345,0.0010469786947344,0.0011124118069571,0.0011147682494281,0.0011082822364956
A-USD,2021-01-21,7.0,0.0007852462458435,0.0011029860370732,0.0011407123011582,0.0011590361368345,0.0010469786947344,0.0011124118069571,0.0011147682494281,0.0011082822364956
A-USD,2021-02-18,2.0,0.0006018123909169,0.0021777551625632,0.0021639547149792,0.0022290029365966,0.0018881543144508,0.0022097397953343,0.002217735953527,0.002231181263164
A-USD,2021-02-18,3.0,0.0006018123909169,0.0021777551625632,0.0021639547149792,0.0022290029365966,0.0018881543144508,0.0022097397953343,0.002217735953527,0.002231181263164
A-USD,2021-02-18,4.0,0.0006018123909169,0.0021777551625632,0.0021639547149792,0.0022290029365966,0.0018881543144508,0.0022097397953343,0.002217735953527,0.002231181263164
A-USD,2021-02-18,7.0,0.0006018123909169,0.0021777551625632,0.0021639547149792,0.0022290029365966,0.0018881543144508,0.0022097397953343,0.002217735953527,0.002231181263164
A-USD,2021-02-22,2.0,0.0014179317148404,0.0012530029370388,0.0008617665223785,0.0003982355001498,0.0014085402501731,0.0014061923840063,0.0014444897457482,0.0015901705515906
A-USD,2021-02-22,3.0,0.0014179317148404,0.0012530029370388,0.0008617665223785,0.0003982355001498,0.0014085402501731,0.0014061923840063,0.0014444897457482,0.0015901705515906
A-USD,2021-02-22,4.0,0.0014179317148404,0.0012530029370388,0.0008617665223785,0.0003982355001498,0.0014085402501731,0.0014061923840063,0.0014444897457482,0.0015901705515906
A-USD,2021-02-22,7.0,0.0014179317148404,0.0012530029370388,0.0008617665223785,0.0003982355001498,0.0014085402501731,0.0014061923840063,0.0014444897457482,0.0015901705515906
A-USD,2021-03-07,7.0,-0.002099095807909,-0.0020512662131118,-0.0019144616166328,-0.0016778934475264,-0.0011962068690297,-0.0009704846343099,-0.0007002892396094,-0.0003967461453535
