symbol,breakout_date,peak_date,b_vs_-3,b_vs_-2,b_vs_-1,b_vs_+0,b_vs_+1,b_vs_+2,b_vs_+3,p_vs_-3,p_vs_-2,p_vs_-1,p_vs_+0,p_vs_+1,p_vs_+2
AKT-USD,2022-11-21,2022-11-29,-12.024064879096496,-17.9008873592283,-25.25805674012758,14.946095313255192,87.51700837229721,-27.95434705439571,3.142383026387896,-34.71195636153569,-24.42113884507314,38.72435224104984,-9.251431551574196,-11.446529428279694,-22.94617244002697
AKT-USD,2023-02-04,2023-02-12,22.3126003570286,18.937813470240307,-13.898454890808832,-3.6876177504239993,-5.83415523038171,-11.79234811381713,174.06614290375958,102.13124915122624,-3.156328820904619,-29.570589222503173,1.415052113275772,33.83882009408794,-10.485105566189844
AKT-USD,2023-05-24,2023-05-31,3.8048662221094265,85.20692121131222,22.568394998020924,-14.69832144039216,65.57096552419372,77.89377424816087,70.51386518422706,121.09498627764634,24.4925011791006,42.95489577037736,107.51555907706675,45.264159274894155,16.516516244783762
AKT-USD,2023-06-13,2023-06-17,-13.030273118860547,-45.576205215811626,-31.847885706929947,-24.22638891771266,-10.104595185977006,15.822159150351677,58.80924453482101,-10.104595185977006,15.822159150351677,58.80924453482101,37.62165285822954,-3.049098508016568,-10.236337387533013
AKT-USD,2023-08-06,2023-08-12,-17.178261303778886,-14.184011140288044,-11.057513899965388,-12.514857812452396,18.85889898637576,136.71198999598087,70.64735915356599,70.64735915356599,251.42576132845454,152.2453737824716,170.96801524874996,42.811343916855236,18.876823592964453
AKT-USD,2023-11-15,2023-11-24,-2.629008500388008,-28.205985363325404,-9.238366683723608,30.681329167070025,30.469272680954628,7.9697244216462515,87.49420114004032,49.11120870017343,1.6950329915170315,-35.906728438994264,-22.83469371439265,-26.40304006990769,-6.216897619459683
AKT-USD,2023-12-11,2023-12-20,-13.675889107183693,-5.845494134817153,-25.745566569299882,21.778811439258128,78.3269544483068,125.04576128798308,79.21476305523541,66.22584792762581,12.071498798942493,36.58415403150037,13.536210289032802,3.472069553867674,-15.11999059155088
AKT-USD,2024-01-02,2024-01-10,-57.22225956615645,-48.37043325196119,-48.825470957280345,-13.829148639553123,47.46471906309084,83.35127650548004,115.86362427118017,5.308530736790185,68.43320109405188,7.338452565817399,23.728795755406075,26.00508666146666,-6.064795453021077
AKT-USD,2024-03-04,2024-03-09,-10.622577257322774,-24.9885619290771,-23.261203896146622,6.414392065486907,29.956357054671834,102.44873896349272,119.32988298157103,102.44873896349272,119.32988298157103,28.606100324227235,30.83827571057771,-26.141381054938538,8.624787204421192
AKT-USD,2024-05-08,2024-05-17,311.56259655047086,77.06933102973767,-21.401368127550104,-34.67055264486646,257.5151498995484,428.4300139573299,119.09563883410459,-36.6774876397037,-21.05823464017924,10.949527942274951,-48.69487125230948,-69.9963225289497,-73.96303735386188
AKT-USD,2024-11-09,2024-11-18,44.762598199728785,23.60279139006074,-17.401002178965484,157.6204822049774,81.21149588332801,101.02191604750361,497.8784973787297,-30.944641694660724,-18.355494295748965,-53.35927323395535,340.3301154866913,394.6662952959353,26.76592875664239
AKT-USD,2025-03-10,2025-03-13,16.751562658520136,-48.14723399619687,7.140883683968835,124.65555121792535,513.9167306172412,408.79778173011505,145.0309474989089,124.65555121792535,513.9167306172412,408.79778173011505,145.0309474989089,-24.19938851071003,-65.31244658577413
ALGO-USD,2020-08-05,2020-08-13,-15.645073699553368,-43.78262319629478,-39.54326281552017,-2.4155315550161816,28.624467181597304,1.613216362318104,82.5929991659761,66.10815782222387,54.307519911007574,97.2582537962613,300.03584374928556,156.85248040331157,61.218683992500765
ALGO-USD,2021-02-09,2021-02-12,43.040068000532216,38.847060577331895,161.7426249896112,77.01911262242061,42.298682681502854,140.08007794412495,228.04786599323936,77.01911262242061,42.298682681502854,140.08007794412495,228.04786599323936,122.19897966787596,23.738655777431394
ALGO-USD,2021-09-05,2021-09-12,-22.65283466007372,60.658480637053344,11.5930879898281,45.52837061258623,113.14042634762474,150.58932180420004,540.4288345729261,461.2693810960287,151.97343961229262,56.53959023525961,67.25157484348028,59.21517166043879,-23.31343198561776
ALGO-USD,2023-12-06,2023-12-14,39.79854188962497,84.68410782435716,-18.242455217527976,-15.222401860932289,4.559672770830692,38.777813961939955,158.0158313461873,25.51867439449984,10.109632810279813,-16.578550251748105,-2.956952012338432,-33.56073790984247,-48.43272993101158
ALGO-USD,2024-11-13,2024-11-22,186.57617232821605,177.50693766278496,218.59512380191316,107.68851203365925,61.66015903787423,399.3654628613479,288.1979337778774,76.6619072674225,-1.612182166795495,-1.2772034941291643,73.20597777329843,182.97210529021166,63.660791968753294
ALGO-USD,2025-01-13,2025-01-17,19.73322133528377,-31.653480699141845,-45.986694944091674,-0.26345156364298017,-30.586781834091003,94.6967306883381,107.42286773504239,-30.586781834091003,94.6967306883381,107.42286773504239,39.20659249681759,6.702314916300112,35.20671692144548
AMAPT-USD,2024-11-08,2024-11-11,-33.109479931282216,7.6693267725060466,-29.21718046414964,-46.31817441016972,7.374167339676818,72.58078889619144,190.50838921479937,-46.31817441016972,7.374167339676818,72.58078889619144,190.50838921479937,192.2957420819306,1.0269289303433737
AMP-USD,2021-04-15,2021-04-18,30.880993098600108,-3.6076737942529857,373.3057553759754,109.68519993604832,200.99150209383114,273.00752431311383,145.35341025281724,109.68519993604832,200.99150209383114,273.00752431311383,145.35341025281724,68.87957576346831,26.969848920966164
AMP-USD,2021-05-04,2021-05-08,-59.84878224769648,-58.20564923224251,-38.75130639393053,-17.28802422133773,37.182857889569874,31.273726217632248,134.38063912625216,37.182857889569874,31.273726217632248,134.38063912625216,21.022525915937564,18.567812632318347,15.477777054728815
AMP-USD,2021-05-23,2021-05-26,1.9649252500013592,7.0669462488103685,-26.033355084859565,39.26284695846529,-64.05851500311456,-32.65035597816419,64.19090090751618,39.26284695846529,-64.05851500311456,-32.65035597816419,64.19090090751618,-27.08337970571869,-30.909885261621582
AMP-USD,2021-06-07,2021-06-16,42.012660302583285,81.63930327058553,57.859226286843345,13.099189748823402,243.87849828242696,172.90165107138574,521.2933855763154,-5.295626859063452,9.369625635744349,322.5839071123782,445.92863615021383,145.2666215683586,42.248873302609354
AMP-USD,2021-07-20,2021-07-28,46.11723217112247,24.47755425700151,-21.377240855049063,6.7815909571870225,8.719422449175962,7.881308013709476,204.61852204858678,194.95722213366537,456.0455602209321,82.72598618509082,54.229700154931805,65.2824051650348,-5.761052246875864
AMP-USD,2021-10-31,2021-11-03,59.90436486419277,2.118537404497478,13.172398967053244,417.4189419844612,51.90352174366093,31.3363994334388,487.65957492061347,417.4189419844612,51.90352174366093,31.3363994334388,487.65957492061347,316.6555920753576,41.87542715606482
AMP-USD,2021-11-20,2021-11-23,-63.89016532235868,-43.91221254388661,-43.79587353448843,-58.35850822822547,-54.17802879304807,-0.6222804006940308,774.1297560945274,-58.35850822822547,-54.17802879304807,-0.6222804006940308,774.1297560945274,394.6449183411242,10.621615915904359
AMP-USD,2022-05-11,2022-05-15,-34.824824871520185,110.04588414673964,31.355013213978044,36.26863688527748,86.32009176560904,68.4542674244162,-3.3563060915164367,86.32009176560904,68.4542674244162,-3.3563060915164367,-23.921748231695126,-9.552830575019078,-0.3877894615044397
AMP-USD,2024-11-25,2024-12-04,-49.46417077931925,-21.236194526018625,4.881097078620722,-30.90830569145654,-59.44115845981959,36.17873530811839,465.82095188068575,-54.13610199535339,-39.34627923330748,108.67869583184921,423.6706065457362,68.11864253151849,-9.575025737818976
AMP-USD,2025-01-14,2025-01-17,-49.01543755198926,-27.35105161398397,7.975020324134396,-34.449723162489995,32.58821739788,346.36213782730715,419.3603594203883,-34.449723162489995,32.58821739788,346.36213782730715,419.3603594203883,54.47731560391207,3.3272577690595995
ANKR-USD,2020-08-03,2020-08-10,-42.65437787176403,-60.06066118860034,-53.59229816721529,29.71107744863497,-52.69587544847201,12.16094893864561,190.36504238608546,57.245006967821396,187.27689443262574,300.29915283267445,538.6482764294891,98.41300861607046,55.86098706291152
ANKR-USD,2021-01-17,2021-01-20,-39.9403756729228,-19.489213377307223,-1.3817063441498023,43.28194169291788,39.41928359106088,-18.83455419937835,346.9758824664336,43.28194169291788,39.41928359106088,-18.83455419937835,346.9758824664336,340.5595447852395,30.382522183304992
ANKR-USD,2021-02-01,2021-02-10,150.22724863777987,-10.563325826003723,-33.18790719098256,-42.01670927530405,-40.781678225112586,21.467865500773907,278.6278715818225,92.63952208078751,4.08275652443586,18.404443005326463,-21.439178591270103,-1.4127331823641343,-8.655876867489765
ANKR-USD,2021-03-09,2021-03-18,-62.56177493713505,-22.673809012435687,50.13558761218895,21.636857145492662,67.39084210281783,39.16784129538231,446.6783461561697,38.74312899405303,33.29025949589335,-26.097095645358426,-56.32766056452498,-21.845334665297646,3.270772780456044
ANKR-USD,2021-03-20,2021-03-27,-26.097095645358426,-56.32766056452498,-21.845334665297646,3.270772780456044,-35.2855408461214,-51.92852104528852,236.7489440648469,20.932956089893185,183.95506554029183,157.18000397019668,232.2252098996116,119.57557471606948,-0.8193772547988476
ANKR-USD,2021-04-25,2021-05-01,-36.45882892162238,5.233713969826548,-55.88225762093264,-64.2830535689594,-36.3489785196931,-42.020509888290846,70.8780625241324,70.8780625241324,-27.98704655069466,-28.155258690320384,9.503761515920672,-43.98286229622331,-25.281497008594634
