symbol,breakout_date,pct_gain,days_to_peak,strength
APE-USD,2025-01-26,24079.516330156952,5,strong
APE-USD,2025-02-15,94.30542818463692,1,strong
APE-USD,2025-02-23,75.30871298335407,7,strong
APE-USD,2025-03-09,41.613468481042645,8,moderate
APE-USD,2025-04-11,13286.98121967407,9,strong
APE-USD,2025-05-06,47.29250195919023,7,moderate
API3-USD,2020-12-02,70.89476180643611,3,strong
API3-USD,2020-12-16,35.31822363665656,3,moderate
API3-USD,2021-01-01,58.54996222144489,4,strong
API3-USD,2021-01-14,165.02603559283963,10,strong
API3-USD,2021-01-21,36.91627899418049,3,moderate
API3-USD,2021-02-09,50.99085888758531,4,strong
API3-USD,2021-02-26,37.77284012131637,3,moderate
API3-USD,2021-03-15,36.70730647123606,4,moderate
API3-USD,2021-03-27,56.70735799479283,10,strong
API3-USD,2021-05-17,37.0779898522234,3,moderate
API3-USD,2021-06-25,45.83244122133793,3,moderate
API3-USD,2021-07-08,49.223648764681045,5,moderate
API3-USD,2021-07-20,61.29360273595877,10,strong
API3-USD,2021-08-26,53.549092972364434,8,strong
API3-USD,2021-09-29,34.73862059891187,9,moderate
API3-USD,2021-11-04,47.24660622580407,3,moderate
API3-USD,2021-12-06,33.719450582987534,3,moderate
API3-USD,2022-01-12,33.70942288939924,3,moderate
API3-USD,2022-02-16,62.29890990159807,3,strong
API3-USD,2022-05-12,34.44190950803727,9,moderate
API3-USD,2023-03-16,33.38361845837222,3,moderate
API3-USD,2023-08-03,43.0784161654049,3,moderate
API3-USD,2023-08-27,43.60007208713431,5,moderate
API3-USD,2024-01-17,75.26629185190114,10,strong
API3-USD,2024-01-24,58.02146148785104,9,strong
API3-USD,2024-02-11,46.51803705594645,3,moderate
API3-USD,2025-03-14,127.6231730116872,9,strong
API3-USD,2025-03-19,61.50894814493568,4,strong
AR-USD,2020-05-27,79.73419429628142,10,strong
AR-USD,2020-06-08,41.61785186589872,4,moderate
AR-USD,2020-06-18,35.012871597026006,5,moderate
AR-USD,2020-08-06,98.69545282892312,10,strong
AR-USD,2020-08-11,61.52053862124893,7,strong
AR-USD,2020-08-21,144.6144538703882,8,strong
AR-USD,2020-08-25,74.47024117230922,4,strong
AR-USD,2020-09-25,39.68162959700264,5,moderate
AR-USD,2020-10-07,32.444849086767555,3,moderate
AR-USD,2021-01-07,62.73020017800989,10,strong
AR-USD,2021-01-21,33.53958057067099,3,moderate
AR-USD,2021-02-21,126.09932407470085,10,strong
AR-USD,2021-02-28,75.25461590147049,3,strong
AR-USD,2021-03-16,102.92636556226242,10,strong
AR-USD,2021-03-24,64.07127810085807,7,strong
AR-USD,2021-04-23,53.60338336198127,4,strong
AR-USD,2021-05-23,33.295109398845334,3,moderate
AR-USD,2021-08-14,115.90148100293524,4,strong
AR-USD,2021-08-24,135.69901096054912,7,strong
AR-USD,2021-08-28,39.26291681288707,3,moderate
AR-USD,2021-09-07,36.812022562986,2,moderate
AR-USD,2021-09-20,31.08223301234605,3,moderate
AR-USD,2021-09-29,58.06775842355319,7,strong
AR-USD,2021-10-30,75.8944529290107,5,strong
AR-USD,2022-03-06,32.93869324983262,3,moderate
AR-USD,2022-10-31,45.1818043796221,4,moderate
AR-USD,2024-02-12,64.91663054043082,7,strong
AR-USD,2024-02-24,124.00791322816738,10,strong
AR-USD,2024-03-04,52.44084482131475,5,strong
AR-USD,2024-04-17,46.446307007732585,8,moderate
AR-USD,2024-11-04,57.49929745451715,7,strong
ARB-USD,2020-07-05,36.28157923049755,3,moderate
ARB-USD,2020-09-30,39.72179975934653,10,moderate
ARB-USD,2020-10-28,56.40704002640271,8,strong
ARB-USD,2020-11-14,46.47303240295065,3,moderate
ARB-USD,2020-12-30,51.791904317116334,4,strong
ARB-USD,2021-01-25,92.88660373478676,9,strong
ARB-USD,2021-02-10,74.83296086769012,3,strong
ARB-USD,2021-03-01,35.93015331092222,2,moderate
ARB-USD,2021-03-10,45.83333622061957,3,moderate
ARB-USD,2021-04-12,40.767520150270414,3,moderate
ARB-USD,2021-07-22,73.8906139274458,8,strong
ARB-USD,2021-08-30,236.0638381995535,7,strong
ARB-USD,2021-10-10,381.7518552099452,10,strong
ARB-USD,2022-01-11,68.40873147616287,4,strong
ARB-USD,2022-05-11,44.23963424128701,4,moderate
ARB-USD,2022-09-27,113.08901353249313,7,strong
