symbol,breakout_date,start_price,max_window_price,max_gain,market_level,Date,Close,High,Low,Open,Volume,close,volume,high,low,obv,cmf,rvol
A-USD,2023-09-07,0.0003790000046137,0.0022619999945163,4.968337643747178,2,2023-09-07,0.0003790000046137,0.0025589999277144,0.0003739999956451,0.0025510000996291,6,0.0003790000046137,6,0.0025589999277144,0.0003739999956451,63382,-0.8301378956397826,9.23076923076923
A-USD,2023-09-11,0.0021919999271631,0.0034090001136064,0.5552008334317554,2,2023-09-11,0.0021919999271631,0.0022559999488294,0.0021770000457763,0.0022529999259859,0,0.0021919999271631,0,0.0022559999488294,0.0021770000457763,63382,-0.8301378956397826,0.0
A-USD,2023-09-23,0.0010339999571442,0.0025329999625682,1.4497099299346992,5,2023-09-23,0.0010339999571442,0.0010359999723732,0.0010319999419152,0.0010339999571442,0,0.0010339999571442,0,0.0010359999723732,0.0010319999419152,63397,0.11063596726033718,0.0
A-USD,2023-12-25,0.0002640000020619,0.001321000047028,4.003788017843521,9,2023-12-25,0.0002640000020619,0.0002650000096764,0.0002589999930933,0.0002610000083222,0,0.0002640000020619,0,0.0002650000096764,0.0002589999930933,63408,-0.8497611792573653,0.0
A-USD,2023-12-30,0.0026110000908374,0.0033990000374615,0.3018000456565946,7,2023-12-30,0.0026110000908374,0.0035560000687837,0.0025810000952333,0.0035429999697953,0,0.0026110000908374,0,0.0035560000687837,0.0025810000952333,61109,-0.9232301786072561,0.0
A-USD,2024-01-12,0.0024739999789744,0.0042630000971257,0.7231205066108903,5,2024-01-12,0.0024739999789744,0.0052209999412298,0.0024149999953806,0.0049439999274909,4,0.0024739999789744,4,0.0052209999412298,0.0024149999953806,61121,-0.9121628897016031,0.032693093583980384
A-USD,2024-01-20,0.001405999995768,0.0029579999390989,1.1038406458053724,4,2024-01-20,0.001405999995768,0.004133999813348,0.0001979999942705,0.0041330000385642,1786,0.001405999995768,1786,0.004133999813348,0.0001979999942705,59335,-0.38745652763720684,19.955307262569832
A-USD,2024-01-24,0.0033519999124109,0.0044749998487532,0.3350238561117954,2,2024-01-24,0.0033519999124109,0.0036800000816583,0.0013930000131949,0.0014110000338405,142,0.0033519999124109,142,0.0036800000816583,0.0013930000131949,60256,-0.20344541558340817,0.682856455878817
A-USD,2024-01-28,0.0033410000614821,0.0045670000836253,0.3669560010721265,4,2024-01-28,0.0033410000614821,0.0046569998376071,0.0033259999472647,0.0044749998487532,1,0.0033410000614821,1,0.0046569998376071,0.0033259999472647,60256,-0.20338522773205928,0.004806536890170632
A-USD,2024-02-21,0.0007500000065192,0.004238000139594,4.6506668036748975,9,2024-02-21,0.0007500000065192,0.0056500001810491,0.0005419999943114,0.0056449999101459,539,0.0007500000065192,539,0.0056500001810491,0.0005419999943114,59715,-0.9185591211418314,20.0
A-USD,2024-02-28,0.00504200020805,0.0084020001813769,0.6664021885525436,7,2024-02-28,0.00504200020805,0.00504200020805,0.0044510001316666,0.0045549999922513,169,0.00504200020805,169,0.00504200020805,0.0044510001316666,59931,-0.3744052014608492,4.47682119205298
A-USD,2024-03-04,0.0066869999282062,0.0096789998933672,0.4474353218609364,7,2024-03-04,0.0066869999282062,0.0075539997778832,0.0065640001557767,0.007327000144869,3,0.0066869999282062,3,0.0075539997778832,0.0065640001557767,60623,0.47083570911637845,0.0053758623779231254
